account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A00041,Company_41,Consumer & Lifestyle,Cambodia,2025-05-02 04:02:05,organic,Free,38,True,False
A00042,Company_42,Finance,Brunei,2026-02-27 21:13:07,other,Free,12,True,False
A00043,Company_43,Technology,Brunei,2024-12-31 09:02:12,outbound,Basic,37,True,False
A00044,Company_44,Education,Indonesia,2026-10-18 04:38:52,other,Basic,34,True,False
A00045,Company_45,E-commerce & Retail,Laos,2025-05-03 01:37:24,outbound,Free,26,True,False
A00046,Company_46,Finance,Brunei,2025-05-06 03:56:24,event,Enterprise,87,True,True
A00047,Company_47,Finance,Indonesia,2024-11-27 02:58:07,partner,Basic,9,False,True
A00048,Company_48,Education,Singapore,2025-03-18 17:06:00,other,Free,35,True,False
A00049,Company_49,Finance,Cambodia,2026-05-11 13:04:18,partner,Free,43,True,False
A00050,Company_50,Education,Laos,2024-06-28 07:29:33,event,Enterprise,430,False,True
A00051,Company_51,Education,Philippines,2024-11-23 04:50:33,partner,Pro,14,False,False
A00052,Company_52,Education,Singapore,2024-03-19 21:55:12,organic,Free,28,True,True
A00053,Company_53,E-commerce & Retail,Philippines,2025-06-02 03:53:20,event,Pro,41,False,True
A00054,Company_54,E-commerce & Retail,Singapore,2025-10-26 09:19:26,partner,Basic,8,True,False
A00055,Company_55,Education,Malaysia,2026-06-23 21:31:50,organic,Basic,28,True,False
A00056,Company_56,Finance,Malaysia,2025-07-09 20:05:42,event,Free,16,True,True
A00057,Company_57,Healthcare & Life Sciences,Cambodia,2025-09-23 06:50:49,ads,Enterprise,433,True,False
A00058,Company_58,Energy & Resources,Myanmar,2025-10-02 11:26:59,other,Free,48,True,True
A00059,Company_59,Finance,Myanmar,2025-01-20 12:20:43,organic,Free,45,True,False
A00060,Company_60,Energy & Resources,Laos,2026-01-01 04:35:45,ads,Free,30,True,True
A00061,Company_61,Industrial & Logistics,Malaysia,2024-12-12 07:11:32,partner,Free,13,True,True
A00062,Company_62,Professional Services,Myanmar,2024-04-17 20:11:35,other,Enterprise,192,True,False
A00063,Company_63,Education,Cambodia,2026-04-12 23:34:17,event,Basic,2,True,False
A00064,Company_64,Industrial & Logistics,Malaysia,2025-02-16 09:18:12,other,Free,39,True,False
A00065,Company_65,Healthcare & Life Sciences,Laos,2025-05-02 06:44:16,organic,Basic,33,True,False
A00066,Company_66,Healthcare & Life Sciences,Malaysia,2025-11-08 09:24:09,outbound,Free,35,True,False
A00067,Company_67,Finance,Laos,2024-04-18 16:48:45,event,Enterprise,219,False,True
A00068,Company_68,Education,Cambodia,2025-04-25 10:58:04,ads,Pro,21,False,True
A00069,Company_69,E-commerce & Retail,Laos,2025-10-15 03:22:31,outbound,Pro,25,False,False
A00070,Company_70,Industrial & Logistics,Malaysia,2026-05-01 04:34:47,outbound,Pro,20,True,True
A00071,Company_71,E-commerce & Retail,Brunei,2025-11-17 06:58:35,partner,Basic,14,False,True
A00072,Company_72,Healthcare & Life Sciences,Laos,2026-03-11 17:26:37,ads,Pro,40,True,False
A00073,Company_73,Healthcare & Life Sciences,Philippines,2024-11-05 08:06:07,event,Free,3,True,True
A00074,Company_74,Industrial & Logistics,Philippines,2024-04-23 03:13:59,outbound,Basic,41,False,True
A00075,Company_75,Technology,Brunei,2025-01-14 00:23:57,outbound,Free,45,True,True
A00076,Company_76,Professional Services,Philippines,2024-12-05 22:59:20,organic,Free,45,True,False
A00077,Company_77,Consumer & Lifestyle,Cambodia,2026-05-15 21:35:39,outbound,Free,8,True,False
A00078,Company_78,Consumer & Lifestyle,Myanmar,2026-11-03 01:06:06,event,Basic,36,False,False
A00079,Company_79,Consumer & Lifestyle,Laos,2025-11-23 16:51:51,ads,Enterprise,430,False,True
A00080,Company_80,Professional Services,Philippines,2026-09-17 13:44:29,other,Free,50,True,False
A00081,Company_81,Education,Indonesia,2025-01-06 15:43:56,partner,Free,5,True,True
A00082,Company_82,E-commerce & Retail,Indonesia,2025-06-05 17:18:13,outbound,Basic,35,True,False
A00083,Company_83,Finance,Myanmar,2026-12-14 00:19:27,outbound,Free,14,True,False
A00084,Company_84,Industrial & Logistics,Myanmar,2025-05-29 00:09:08,event,Basic,27,True,False
A00085,Company_85,Industrial & Logistics,Philippines,2026-12-16 10:58:35,organic,Free,49,True,False
A00086,Company_86,Industrial & Logistics,Indonesia,2025-06-30 10:31:07,outbound,Free,25,True,False
A00087,Company_87,Technology,Myanmar,2024-12-06 20:37:53,partner,Free,32,True,False
A00088,Company_88,Consumer & Lifestyle,Cambodia,2026-11-05 01:24:57,event,Pro,26,False,False
A00089,Company_89,Technology,Brunei,2026-04-09 17:34:20,other,Free,26,True,True
A00090,Company_90,E-commerce & Retail,Singapore,2025-10-27 19:50:32,partner,Free,30,True,False
A00091,Company_91,Industrial & Logistics,Laos,2025-08-11 22:00:59,outbound,Basic,30,True,False
A00092,Company_92,Professional Services,Singapore,2025-01-26 21:21:51,partner,Pro,31,True,True
A00093,Company_93,Technology,Singapore,2024-12-14 07:36:29,ads,Pro,50,False,True
A00094,Company_94,E-commerce & Retail,Philippines,2024-11-05 16:42:17,other,Pro,40,True,False
A00095,Company_95,Education,Malaysia,2024-06-26 16:44:51,ads,Basic,14,False,True
A00096,Company_96,E-commerce & Retail,Laos,2026-07-30 05:19:00,organic,Pro,48,False,False
A00097,Company_97,Industrial & Logistics,Myanmar,2026-06-17 22:55:50,other,Free,20,True,False
A00098,Company_98,Healthcare & Life Sciences,Brunei,2024-11-04 02:16:12,other,Free,45,True,False
A00099,Company_99,Technology,Malaysia,2025-04-13 11:49:02,event,Enterprise,357,False,True
A00100,Company_100,Energy & Resources,Singapore,2025-10-27 11:05:23,outbound,Pro,5,False,True
A00101,Company_101,Consumer & Lifestyle,Cambodia,2026-01-31 12:02:39,outbound,Free,24,True,True
A00102,Company_102,Professional Services,Philippines,2024-09-30 14:51:42,outbound,Pro,42,True,False
A00103,Company_103,Healthcare & Life Sciences,Brunei,2025-11-07 15:23:38,partner,Pro,38,True,False
A00104,Company_104,Industrial & Logistics,Malaysia,2025-12-01 07:07:00,organic,Free,30,True,True
A00105,Company_105,Energy & Resources,Laos,2026-02-06 21:04:55,partner,Enterprise,143,False,False
A00106,Company_106,Professional Services,Singapore,2025-03-10 10:25:26,event,Enterprise,409,False,False
A00107,Company_107,Industrial & Logistics,Philippines,2024-10-23 19:05:59,event,Free,47,True,False
A00108,Company_108,Consumer & Lifestyle,Singapore,2025-01-08 07:55:32,organic,Pro,42,False,True
A00109,Company_109,Healthcare & Life Sciences,Laos,2025-04-02 01:53:51,other,Free,45,True,True
A00110,Company_110,Industrial & Logistics,Malaysia,2026-06-22 09:57:49,partner,Basic,36,False,False
A00111,Company_111,Finance,Indonesia,2026-12-27 20:19:53,partner,Basic,20,True,False
A00112,Company_112,Healthcare & Life Sciences,Indonesia,2024-07-04 17:19:25,other,Pro,49,False,True
A00113,Company_113,Professional Services,Laos,2026-01-22 04:13:54,organic,Free,38,True,False
A00114,Company_114,E-commerce & Retail,Laos,2024-10-28 13:13:40,organic,Free,24,True,True
A00115,Company_115,Technology,Laos,2026-04-09 17:59:58,other,Free,3,True,True
A00116,Company_116,Technology,Laos,2024-07-15 04:02:26,outbound,Pro,49,False,True
A00117,Company_117,Education,Philippines,2026-01-13 15:45:33,organic,Basic,12,False,False
A00118,Company_118,Technology,Cambodia,2024-04-11 12:10:47,ads,Basic,5,False,False
A00119,Company_119,Finance,Myanmar,2026-05-24 08:10:51,event,Enterprise,93,False,False
A00120,Company_120,Industrial & Logistics,Philippines,2026-07-15 01:13:10,outbound,Pro,15,False,False
A00121,Company_121,Technology,Brunei,2025-04-06 22:07:41,ads,Enterprise,269,True,False
A00122,Company_122,Finance,Cambodia,2026-08-29 16:53:26,ads,Free,43,True,False
A00123,Company_123,Consumer & Lifestyle,Philippines,2024-09-27 00:14:19,partner,Basic,11,True,False
A00124,Company_124,Education,Philippines,2024-02-20 16:54:07,organic,Free,46,True,False
A00125,Company_125,Healthcare & Life Sciences,Myanmar,2026-12-03 19:34:02,organic,Free,17,True,False
A00126,Company_126,Education,Cambodia,2026-04-25 22:45:25,organic,Free,10,True,False
A00127,Company_127,Education,Philippines,2024-04-02 15:28:02,organic,Free,20,True,True
A00128,Company_128,Education,Philippines,2025-12-29 02:19:36,outbound,Pro,45,False,True
A00129,Company_129,Education,Singapore,2024-05-04 23:05:22,organic,Basic,28,False,True
A00130,Company_130,Technology,Laos,2024-12-21 14:55:14,event,Enterprise,478,False,True
A00131,Company_131,Consumer & Lifestyle,Laos,2024-03-03 11:56:43,ads,Pro,12,False,True
A00132,Company_132,Consumer & Lifestyle,Malaysia,2026-06-28 06:40:12,outbound,Basic,32,False,True
A00133,Company_133,Energy & Resources,Myanmar,2025-06-01 18:38:15,other,Basic,7,False,True
A00134,Company_134,Professional Services,Singapore,2026-02-08 16:25:26,outbound,Free,26,True,False
A00135,Company_135,Industrial & Logistics,Singapore,2024-05-16 19:06:25,other,Basic,21,True,False
A00136,Company_136,Energy & Resources,Philippines,2026-04-22 21:21:19,other,Basic,4,True,False
A00137,Company_137,E-commerce & Retail,Laos,2025-11-17 16:28:52,outbound,Pro,14,True,False
A00138,Company_138,Healthcare & Life Sciences,Cambodia,2026-12-20 16:38:52,partner,Basic,2,False,False
A00139,Company_139,Finance,Indonesia,2026-05-05 16:46:00,organic,Free,27,True,False
A00140,Company_140,Consumer & Lifestyle,Laos,2025-12-17 20:01:27,event,Enterprise,381,False,False
A00141,Company_141,Healthcare & Life Sciences,Philippines,2025-02-28 18:01:08,event,Basic,31,False,False
A00142,Company_142,E-commerce & Retail,Brunei,2024-08-12 16:38:36,partner,Basic,39,False,True
A00143,Company_143,Technology,Laos,2025-10-06 14:10:29,other,Basic,33,True,True
A00144,Company_144,Consumer & Lifestyle,Cambodia,2025-04-08 18:58:07,outbound,Pro,38,False,False
A00145,Company_145,Professional Services,Myanmar,2026-04-16 15:44:21,outbound,Basic,22,False,False
A00146,Company_146,Industrial & Logistics,Indonesia,2025-05-14 20:43:44,outbound,Enterprise,407,True,True
A00147,Company_147,Industrial & Logistics,Myanmar,2024-03-08 19:17:21,other,Basic,31,False,False
A00148,Company_148,E-commerce & Retail,Malaysia,2026-10-09 21:01:48,organic,Enterprise,303,False,False
A00149,Company_149,Technology,Cambodia,2025-11-14 23:48:19,outbound,Free,30,True,False
A00150,Company_150,Education,Malaysia,2026-10-14 04:01:01,event,Enterprise,88,False,False
A00151,Company_151,Professional Services,Myanmar,2026-12-12 01:53:57,partner,Basic,6,False,False
A00152,Company_152,Professional Services,Singapore,2026-08-31 16:46:01,event,Pro,49,False,False
A00153,Company_153,Education,Indonesia,2024-04-16 06:54:37,other,Free,44,True,True
A00154,Company_154,Finance,Philippines,2024-05-20 09:35:08,ads,Basic,7,False,False
A00155,Company_155,Technology,Malaysia,2026-12-14 02:14:19,organic,Free,2,True,False
A00156,Company_156,Professional Services,Myanmar,2025-03-31 17:32:36,event,Basic,28,True,False
A00157,Company_157,Industrial & Logistics,Indonesia,2026-11-25 03:21:36,outbound,Pro,11,True,False
A00158,Company_158,Education,Philippines,2026-06-24 21:40:25,partner,Free,30,True,True
A00159,Company_159,Education,Cambodia,2026-11-01 21:37:26,organic,Free,30,True,False
A00160,Company_160,Industrial & Logistics,Laos,2025-11-17 04:52:47,outbound,Enterprise,350,True,False
A00161,Company_161,Consumer & Lifestyle,Brunei,2025-04-14 07:54:44,ads,Free,25,True,True
A00162,Company_162,Education,Singapore,2025-08-15 10:17:29,other,Basic,37,True,True
A00163,Company_163,Technology,Philippines,2025-09-06 20:42:27,partner,Free,37,True,False
A00164,Company_164,Healthcare & Life Sciences,Laos,2024-12-23 11:26:07,other,Pro,23,True,False
A00165,Company_165,Technology,Laos,2026-10-21 00:04:08,outbound,Pro,9,False,True
A00166,Company_166,Education,Malaysia,2024-02-21 19:55:11,other,Basic,47,True,False
A00167,Company_167,Professional Services,Malaysia,2025-10-07 11:04:41,event,Free,9,True,True
A00168,Company_168,Consumer & Lifestyle,Laos,2026-02-18 12:15:52,other,Enterprise,475,True,False
A00169,Company_169,E-commerce & Retail,Indonesia,2025-06-10 04:13:11,other,Pro,30,False,True
A00170,Company_170,Energy & Resources,Brunei,2026-11-13 15:41:11,outbound,Enterprise,483,False,False
A00171,Company_171,Consumer & Lifestyle,Malaysia,2024-01-22 14:55:30,other,Free,8,True,True
A00172,Company_172,Energy & Resources,Brunei,2026-11-10 10:40:54,other,Free,25,True,False
A00173,Company_173,Professional Services,Malaysia,2024-12-29 05:30:44,event,Basic,40,False,False
A00174,Company_174,Education,Myanmar,2024-12-09 21:10:02,organic,Pro,41,False,False
A00175,Company_175,Education,Philippines,2024-08-05 03:15:53,organic,Free,3,True,False
A00176,Company_176,E-commerce & Retail,Myanmar,2024-05-30 23:34:49,outbound,Free,35,True,True
A00177,Company_177,Professional Services,Myanmar,2025-07-30 08:18:42,event,Pro,48,False,False
A00178,Company_178,Consumer & Lifestyle,Myanmar,2024-08-28 01:01:52,partner,Enterprise,385,True,False
A00179,Company_179,Healthcare & Life Sciences,Malaysia,2024-02-20 19:45:05,organic,Pro,14,False,True
A00180,Company_180,Industrial & Logistics,Laos,2026-12-01 04:00:47,ads,Basic,42,True,False
A00181,Company_181,Healthcare & Life Sciences,Singapore,2024-07-08 18:26:39,organic,Enterprise,471,False,False
A00182,Company_182,Healthcare & Life Sciences,Brunei,2025-06-02 02:07:21,event,Free,9,True,False
A00183,Company_183,E-commerce & Retail,Singapore,2024-11-17 19:23:11,partner,Basic,15,True,True
A00184,Company_184,E-commerce & Retail,Brunei,2024-08-12 18:21:31,other,Enterprise,326,True,False
A00185,Company_185,Healthcare & Life Sciences,Malaysia,2024-02-10 01:09:13,organic,Free,23,True,True
A00186,Company_186,Industrial & Logistics,Brunei,2024-09-27 16:22:09,other,Free,9,True,True
A00187,Company_187,Finance,Philippines,2024-04-08 17:36:55,event,Basic,50,True,True
A00188,Company_188,Professional Services,Laos,2024-12-10 03:58:24,outbound,Enterprise,72,False,True
A00189,Company_189,Industrial & Logistics,Myanmar,2026-09-26 09:28:44,other,Enterprise,81,False,False
A00190,Company_190,Finance,Malaysia,2024-06-16 17:06:31,event,Basic,29,True,True
A00191,Company_191,Professional Services,Malaysia,2024-08-18 10:17:09,outbound,Free,18,True,True
A00192,Company_192,Industrial & Logistics,Brunei,2026-07-17 00:22:57,other,Basic,30,False,False
A00193,Company_193,Professional Services,Indonesia,2024-06-26 17:39:56,outbound,Enterprise,383,False,False
A00194,Company_194,Consumer & Lifestyle,Myanmar,2025-12-02 11:11:14,outbound,Enterprise,261,True,True
A00195,Company_195,Energy & Resources,Cambodia,2024-05-27 17:03:25,other,Basic,21,False,False
A00196,Company_196,Finance,Myanmar,2026-01-06 17:59:18,organic,Free,6,True,True
A00197,Company_197,Professional Services,Malaysia,2025-08-01 21:16:54,other,Pro,36,True,True
A00198,Company_198,Industrial & Logistics,Singapore,2024-07-08 21:06:45,partner,Basic,43,False,False
A00199,Company_199,Healthcare & Life Sciences,Cambodia,2026-07-21 16:54:38,other,Basic,7,False,False
A00200,Company_200,Energy & Resources,Malaysia,2026-01-19 01:19:25,organic,Free,7,True,False
A00201,Company_201,Professional Services,Singapore,2025-03-08 17:46:32,event,Basic,28,False,True
A00202,Company_202,Education,Laos,2026-10-18 21:43:32,partner,Pro,18,True,False
A00203,Company_203,Industrial & Logistics,Brunei,2025-06-29 07:06:06,ads,Free,10,True,False
A00204,Company_204,Healthcare & Life Sciences,Myanmar,2026-09-10 14:21:48,outbound,Enterprise,96,False,False
A00205,Company_205,Energy & Resources,Brunei,2025-12-05 17:08:27,organic,Basic,24,True,False
A00206,Company_206,Technology,Brunei,2024-08-29 16:26:21,partner,Free,40,True,True
A00207,Company_207,Industrial & Logistics,Laos,2025-11-19 08:26:56,ads,Pro,32,False,True
A00208,Company_208,Finance,Laos,2026-03-06 21:39:17,other,Free,28,True,False
A00209,Company_209,Technology,Indonesia,2026-11-19 23:48:03,outbound,Basic,34,False,False
A00210,Company_210,Education,Indonesia,2026-07-20 00:27:14,ads,Free,14,True,False
A00211,Company_211,Technology,Philippines,2025-01-31 22:27:27,other,Free,8,True,True
A00212,Company_212,Professional Services,Indonesia,2025-10-30 23:58:57,event,Free,25,True,False
A00213,Company_213,Technology,Myanmar,2026-05-17 22:43:27,organic,Pro,23,True,False
A00214,Company_214,Industrial & Logistics,Myanmar,2025-12-15 04:52:50,other,Enterprise,491,True,True
A00215,Company_215,Energy & Resources,Cambodia,2026-09-21 10:12:40,event,Basic,8,False,False
A00216,Company_216,Finance,Indonesia,2025-12-15 17:39:20,outbound,Pro,24,True,True
A00217,Company_217,Education,Malaysia,2026-07-03 18:42:46,ads,Basic,6,True,False
A00218,Company_218,Finance,Indonesia,2025-06-01 09:41:53,partner,Pro,5,False,False
A00219,Company_219,Healthcare & Life Sciences,Brunei,2025-06-29 09:56:48,ads,Pro,42,False,True
A00220,Company_220,E-commerce & Retail,Brunei,2025-02-01 15:11:13,ads,Free,39,True,False
A00221,Company_221,Consumer & Lifestyle,Malaysia,2026-09-02 11:37:37,other,Basic,49,False,False
A00222,Company_222,Consumer & Lifestyle,Philippines,2025-05-06 02:30:44,other,Free,5,True,True
A00223,Company_223,Professional Services,Brunei,2025-04-15 09:57:50,partner,Pro,38,True,False
A00224,Company_224,Education,Brunei,2025-12-18 07:00:27,other,Basic,4,True,False
A00225,Company_225,Professional Services,Singapore,2024-05-20 06:29:51,outbound,Pro,33,True,True
A00226,Company_226,Professional Services,Cambodia,2026-06-07 00:54:21,organic,Pro,21,False,True
A00227,Company_227,Finance,Cambodia,2025-11-30 20:43:08,organic,Free,22,True,False
A00228,Company_228,E-commerce & Retail,Malaysia,2025-01-19 20:33:19,partner,Pro,29,False,False
A00229,Company_229,Technology,Malaysia,2025-03-15 11:02:13,organic,Basic,50,True,False
A00230,Company_230,Industrial & Logistics,Laos,2025-05-27 03:45:44,partner,Free,44,True,False
A00231,Company_231,Energy & Resources,Brunei,2026-10-16 22:28:59,event,Enterprise,358,False,False
A00232,Company_232,Education,Myanmar,2026-10-27 21:15:09,ads,Free,23,True,False
A00233,Company_233,Industrial & Logistics,Malaysia,2026-07-13 08:44:41,ads,Pro,6,True,False
A00234,Company_234,Professional Services,Brunei,2026-11-06 23:45:00,other,Pro,48,False,True
A00235,Company_235,Education,Cambodia,2026-11-07 12:24:46,ads,Basic,24,True,False
A00236,Company_236,E-commerce & Retail,Cambodia,2025-06-14 20:42:18,organic,Enterprise,298,True,False
A00237,Company_237,Professional Services,Singapore,2025-04-04 11:55:43,other,Pro,7,False,True
A00238,Company_238,Industrial & Logistics,Cambodia,2025-06-07 03:29:08,ads,Enterprise,366,True,True
A00239,Company_239,E-commerce & Retail,Philippines,2024-10-07 22:25:34,organic,Pro,50,False,True
A00240,Company_240,Consumer & Lifestyle,Laos,2025-09-30 05:55:09,other,Basic,47,True,True
A00241,Company_241,Education,Philippines,2025-11-28 09:14:51,ads,Free,16,True,True
A00242,Company_242,Consumer & Lifestyle,Laos,2025-07-25 10:06:17,outbound,Pro,37,False,False
A00243,Company_243,E-commerce & Retail,Laos,2026-02-20 05:43:13,organic,Basic,11,False,False
A00244,Company_244,Finance,Brunei,2026-09-23 00:53:13,partner,Basic,24,False,False
A00245,Company_245,Professional Services,Cambodia,2024-05-10 07:05:28,outbound,Pro,18,False,False
A00246,Company_246,Energy & Resources,Singapore,2024-05-22 11:19:46,outbound,Enterprise,163,False,True
A00247,Company_247,Finance,Malaysia,2024-03-23 17:33:38,ads,Basic,24,True,False
A00248,Company_248,Energy & Resources,Cambodia,2024-02-13 18:54:28,ads,Basic,7,False,True
A00249,Company_249,E-commerce & Retail,Philippines,2024-02-29 12:02:47,outbound,Free,31,True,True
A00250,Company_250,Technology,Laos,2026-08-13 21:50:45,ads,Free,6,True,False
A00251,Company_251,Industrial & Logistics,Brunei,2024-08-20 06:29:43,partner,Basic,47,False,True
A00252,Company_252,Consumer & Lifestyle,Brunei,2025-01-04 03:52:11,organic,Basic,4,True,False
A00253,Company_253,Healthcare & Life Sciences,Cambodia,2026-02-15 10:59:02,partner,Basic,2,False,True
A00254,Company_254,Healthcare & Life Sciences,Myanmar,2025-10-28 19:11:09,ads,Free,23,True,False
A00255,Company_255,Finance,Singapore,2026-10-29 01:33:26,outbound,Pro,34,False,False
A00256,Company_256,Energy & Resources,Laos,2025-12-31 07:54:22,other,Free,25,True,False
A00257,Company_257,Finance,Malaysia,2024-01-26 05:33:15,ads,Basic,5,True,True
A00258,Company_258,E-commerce & Retail,Philippines,2024-03-09 20:57:15,other,Basic,22,False,True
A00259,Company_259,Consumer & Lifestyle,Singapore,2026-01-13 08:56:06,partner,Pro,9,True,True
A00260,Company_260,Technology,Malaysia,2024-11-09 03:51:25,partner,Free,13,True,False
A00261,Company_261,Technology,Indonesia,2026-03-11 14:53:34,partner,Basic,35,False,True
A00262,Company_262,Energy & Resources,Laos,2025-07-08 12:57:42,organic,Enterprise,74,False,False
A00263,Company_263,Industrial & Logistics,Malaysia,2025-07-25 16:44:57,ads,Basic,26,False,True
A00264,Company_264,Professional Services,Laos,2026-02-09 19:47:49,organic,Pro,24,False,False
A00265,Company_265,E-commerce & Retail,Laos,2025-10-21 10:29:40,partner,Free,39,True,True
A00266,Company_266,Education,Laos,2024-06-08 09:07:38,outbound,Free,43,True,False
A00267,Company_267,Energy & Resources,Philippines,2026-07-25 03:21:45,organic,Pro,11,False,False
A00268,Company_268,Technology,Brunei,2025-07-01 16:21:49,other,Pro,28,True,False
A00269,Company_269,E-commerce & Retail,Singapore,2026-09-17 08:11:24,ads,Basic,33,False,False
A00270,Company_270,Finance,Indonesia,2026-08-01 19:57:34,other,Pro,29,True,False
A00271,Company_271,E-commerce & Retail,Philippines,2025-07-23 01:42:55,partner,Basic,37,True,False
A00272,Company_272,Professional Services,Malaysia,2025-07-31 21:39:50,outbound,Basic,5,False,True
A00273,Company_273,Technology,Cambodia,2025-05-03 09:08:19,outbound,Pro,16,False,False
A00274,Company_274,Education,Philippines,2026-03-15 06:56:34,ads,Basic,36,True,False
A00275,Company_275,Healthcare & Life Sciences,Brunei,2026-08-08 12:26:05,ads,Free,32,True,False
A00276,Company_276,Finance,Malaysia,2024-04-25 00:51:36,other,Basic,46,False,True
A00277,Company_277,Education,Cambodia,2025-06-23 16:57:13,other,Pro,36,False,False
A00278,Company_278,Finance,Indonesia,2026-12-23 18:03:57,ads,Pro,24,False,False
A00279,Company_279,Energy & Resources,Philippines,2025-01-02 18:09:52,event,Pro,2,True,False
A00280,Company_280,Industrial & Logistics,Philippines,2024-07-20 14:13:19,event,Pro,6,True,True
A00281,Company_281,Energy & Resources,Brunei,2025-09-30 03:33:07,outbound,Pro,37,True,True
A00282,Company_282,Professional Services,Cambodia,2025-12-24 15:31:13,ads,Pro,23,True,False
A00283,Company_283,Professional Services,Cambodia,2025-11-03 01:10:43,partner,Basic,4,False,True
A00284,Company_284,Healthcare & Life Sciences,Malaysia,2024-09-12 18:51:39,event,Free,46,True,False
A00285,Company_285,Professional Services,Laos,2025-03-17 06:05:18,ads,Pro,17,True,False
A00286,Company_286,E-commerce & Retail,Cambodia,2026-08-28 22:31:21,ads,Basic,35,True,True
A00287,Company_287,Technology,Singapore,2026-10-20 07:20:29,organic,Pro,39,True,True
A00288,Company_288,Healthcare & Life Sciences,Myanmar,2024-03-11 14:56:19,event,Enterprise,444,False,True
A00289,Company_289,Professional Services,Laos,2026-09-19 15:19:06,other,Free,41,True,False
A00290,Company_290,Consumer & Lifestyle,Brunei,2025-04-14 06:53:05,other,Basic,44,False,False
A00291,Company_291,Consumer & Lifestyle,Philippines,2024-04-03 01:43:11,ads,Free,27,True,True
